id,question,category,tags,tags_list,question_lower
33,Can I take famotidine (Pepcid) with omeprazole?,Drug Interactions,famotidine;omeprazole;acid reflux;timing,"['famotidine', 'omeprazole', 'acid reflux', 'timing']",can i take famotidine (pepcid) with omeprazole?
34,Can I take loperamide (Imodium) with antibiotics?,Drug Interactions,loperamide;antibiotic;diarrhea;safety,"['loperamide', 'antibiotic', 'diarrhea', 'safety']",can i take loperamide (imodium) with antibiotics?
35,Can I take ibuprofen with a diuretic?,Drug Interactions,ibuprofen;diuretic;kidney;interaction,"['ibuprofen', 'diuretic', 'kidney', 'interaction']",can i take ibuprofen with a diuretic?
36,Can I take ibuprofen with an ACE inhibitor?,Drug Interactions,ibuprofen;ace inhibitor;kidney;interaction,"['ibuprofen', 'ace inhibitor', 'kidney', 'interaction']",can i take ibuprofen with an ace inhibitor?
37,Can I take naproxen with an SSRI?,Drug Interactions,naproxen;ssri;bleeding risk;interaction,"['naproxen', 'ssri', 'bleeding risk', 'interaction']",can i take naproxen with an ssri?
38,Can I take aspirin with an SSRI?,Drug Interactions,aspirin;ssri;bleeding risk;interaction,"['aspirin', 'ssri', 'bleeding risk', 'interaction']",can i take aspirin with an ssri?
39,Can I take fluconazole with my cholesterol medicine?,Drug Interactions,fluconazole;statin;interaction;CYP,"['fluconazole', 'statin', 'interaction', 'cyp']",can i take fluconazole with my cholesterol medicine?
40,Can I take antibiotics with birth control pills?,Drug Interactions,antibiotic;birth control;pregnancy prevention;interaction,"['antibiotic', 'birth control', 'pregnancy prevention', 'interaction']",can i take antibiotics with birth control pills?
41,What cold medicine is safe if I have high blood pressure?,Cold & Flu,cold;hypertension;decongestant;safe options,"['cold', 'hypertension', 'decongestant', 'safe options']",what cold medicine is safe if i have high blood pressure?
42,What can I take for a stuffy nose without raising blood pressure?,Cold & Flu,stuffy nose;hypertension;saline;decongestant,"['stuffy nose', 'hypertension', 'saline', 'decongestant']",what can i take for a stuffy nose without raising blood pressure?
43,Can I take DayQuil and NyQuil on the same day?,Cold & Flu,dayquil;nyquil;acetaminophen;dosing,"['dayquil', 'nyquil', 'acetaminophen', 'dosing']",can i take dayquil and nyquil on the same day?
44,How do I know if my cold medicine contains acetaminophen?,Cold & Flu,acetaminophen;labels;overdose;ingredients,"['acetaminophen', 'labels', 'overdose', 'ingredients']",how do i know if my cold medicine contains acetaminophen?
45,Is it okay to take Mucinex (guaifenesin) with other cold meds?,Cold & Flu,guaifenesin;mucinex;combination;cold,"['guaifenesin', 'mucinex', 'combination', 'cold']",is it okay to take mucinex (guaifenesin) with other cold meds?
46,What helps a dry cough at night?,Cold & Flu,dry cough;night;dextromethorphan;honey,"['dry cough', 'night', 'dextromethorphan', 'honey']",what helps a dry cough at night?
47,What helps a wet cough with mucus?,Cold & Flu,productive cough;guaifenesin;hydration;cough,"['productive cough', 'guaifenesin', 'hydration', 'cough']",what helps a wet cough with mucus?
48,Can I take cough medicine while pregnant?,Cold & Flu,pregnancy;cough;safety;otc,"['pregnancy', 'cough', 'safety', 'otc']",can i take cough medicine while pregnant?
49,What cold medicine is safe while breastfeeding?,Cold & Flu,breastfeeding;cold;safety;otc,"['breastfeeding', 'cold', 'safety', 'otc']",what cold medicine is safe while breastfeeding?
50,Can kids take adult cold medicine?,Cold & Flu,children;cold medicine;dose;safety,"['children', 'cold medicine', 'dose', 'safety']",can kids take adult cold medicine?
51,What’s the difference between a cold and the flu?,Cold & Flu,cold;flu;symptoms;when to see doctor,"['cold', 'flu', 'symptoms', 'when to see doctor']",what’s the difference between a cold and the flu?
52,When should I see a doctor for flu symptoms?,Cold & Flu,flu;warning signs;fever;care,"['flu', 'warning signs', 'fever', 'care']",when should i see a doctor for flu symptoms?
53,How long is the flu contagious?,Cold & Flu,flu;contagious;timeline;prevention,"['flu', 'contagious', 'timeline', 'prevention']",how long is the flu contagious?
54,Does Tamiflu help if I start it late?,Cold & Flu,oseltamivir;tamiflu;timing;flu,"['oseltamivir', 'tamiflu', 'timing', 'flu']",does tamiflu help if i start it late?
55,Can I take ibuprofen for fever?,Cold & Flu,fever;ibuprofen;dosing;otc,"['fever', 'ibuprofen', 'dosing', 'otc']",can i take ibuprofen for fever?
56,Can I take acetaminophen for fever?,Cold & Flu,fever;acetaminophen;dosing;otc,"['fever', 'acetaminophen', 'dosing', 'otc']",can i take acetaminophen for fever?
57,Is it okay to alternate acetaminophen and ibuprofen for fever?,Cold & Flu,fever;alternate;acetaminophen;ibuprofen,"['fever', 'alternate', 'acetaminophen', 'ibuprofen']",is it okay to alternate acetaminophen and ibuprofen for fever?
58,What can I do for sore throat pain?,Cold & Flu,sore throat;lozenges;salt water;pain,"['sore throat', 'lozenges', 'salt water', 'pain']",what can i do for sore throat pain?
59,Are throat sprays safe to use every day?,Cold & Flu,throat spray;benzocaine;frequency;safety,"['throat spray', 'benzocaine', 'frequency', 'safety']",are throat sprays safe to use every day?
60,Do I need antibiotics for a sinus infection?,Cold & Flu,sinus infection;antibiotics;viral;bacterial,"['sinus infection', 'antibiotics', 'viral', 'bacterial']",do i need antibiotics for a sinus infection?
61,What helps sinus pressure and congestion?,Cold & Flu,sinus pressure;congestion;saline;steam,"['sinus pressure', 'congestion', 'saline', 'steam']",what helps sinus pressure and congestion?
62,Is pseudoephedrine better than phenylephrine?,Cold & Flu,pseudoephedrine;phenylephrine;decongestant;compare,"['pseudoephedrine', 'phenylephrine', 'decongestant', 'compare']",is pseudoephedrine better than phenylephrine?
63,How can I treat a runny nose?,Cold & Flu,runny nose;antihistamine;saline;care,"['runny nose', 'antihistamine', 'saline', 'care']",how can i treat a runny nose?
64,What can I take for post-nasal drip?,Cold & Flu,post nasal drip;cough;saline;antihistamine,"['post nasal drip', 'cough', 'saline', 'antihistamine']",what can i take for post-nasal drip?
65,How do I relieve ear pressure from a cold?,Cold & Flu,ear pressure;cold;swallowing;decongestant,"['ear pressure', 'cold', 'swallowing', 'decongestant']",how do i relieve ear pressure from a cold?
66,Can I use nasal spray every day?,Cold & Flu,nasal spray;oxymetazoline;rebound congestion;safety,"['nasal spray', 'oxymetazoline', 'rebound congestion', 'safety']",can i use nasal spray every day?
67,How many days can I use Afrin?,Cold & Flu,afrin;oxymetazoline;3 days;rebound,"['afrin', 'oxymetazoline', '3 days', 'rebound']",how many days can i use afrin?
68,Does zinc help a cold?,Cold & Flu,zinc;cold;evidence;supplement,"['zinc', 'cold', 'evidence', 'supplement']",does zinc help a cold?
69,Does vitamin C prevent colds?,Cold & Flu,vitamin C;cold;prevention;evidence,"['vitamin c', 'cold', 'prevention', 'evidence']",does vitamin c prevent colds?
70,Is it safe to take elderberry for colds?,Cold & Flu,elderberry;cold;supplement;safety,"['elderberry', 'cold', 'supplement', 'safety']",is it safe to take elderberry for colds?
71,What should I take for body aches with a cold?,Cold & Flu,body aches;acetaminophen;ibuprofen;care,"['body aches', 'acetaminophen', 'ibuprofen', 'care']",what should i take for body aches with a cold?
72,Can I take NyQuil if I have asthma?,Cold & Flu,nyquil;asthma;cough suppressant;safety,"['nyquil', 'asthma', 'cough suppressant', 'safety']",can i take nyquil if i have asthma?
73,Is it normal to have green mucus?,Cold & Flu,mucus;color;infection;myths,"['mucus', 'color', 'infection', 'myths']",is it normal to have green mucus?
74,How can I sleep better with a bad cold?,Cold & Flu,sleep;cold;congestion;tips,"['sleep', 'cold', 'congestion', 'tips']",how can i sleep better with a bad cold?
75,What’s the best way to measure a fever at home?,Cold & Flu,fever;thermometer;accuracy;home,"['fever', 'thermometer', 'accuracy', 'home']",what’s the best way to measure a fever at home?
76,When can I go back to work after the flu?,Cold & Flu,flu;return to work;fever free;contagious,"['flu', 'return to work', 'fever free', 'contagious']",when can i go back to work after the flu?
77,Can I take cough drops if I have diabetes?,Cold & Flu,cough drops;diabetes;sugar free;safe,"['cough drops', 'diabetes', 'sugar free', 'safe']",can i take cough drops if i have diabetes?
78,What cold medicines should I avoid with diabetes?,Cold & Flu,diabetes;cold meds;sugar;decongestant,"['diabetes', 'cold meds', 'sugar', 'decongestant']",what cold medicines should i avoid with diabetes?
79,Can I take cough syrup if I’m on blood pressure meds?,Cold & Flu,cough syrup;hypertension;decongestant;interaction,"['cough syrup', 'hypertension', 'decongestant', 'interaction']",can i take cough syrup if i’m on blood pressure meds?
80,What can I do for chills and fever at home?,Cold & Flu,chills;fever;hydration;rest,"['chills', 'fever', 'hydration', 'rest']",what can i do for chills and fever at home?
81,How much acetaminophen can I take in a day?,Pain Relief,acetaminophen;max daily dose;liver;safety,"['acetaminophen', 'max daily dose', 'liver', 'safety']",how much acetaminophen can i take in a day?
82,How much ibuprofen can I take in a day?,Pain Relief,ibuprofen;max daily dose;nsaid;safety,"['ibuprofen', 'max daily dose', 'nsaid', 'safety']",how much ibuprofen can i take in a day?
83,How often can I take ibuprofen for pain?,Pain Relief,ibuprofen;dosing interval;otc;pain,"['ibuprofen', 'dosing interval', 'otc', 'pain']",how often can i take ibuprofen for pain?
84,How often can I take acetaminophen for pain?,Pain Relief,acetaminophen;dosing interval;otc;pain,"['acetaminophen', 'dosing interval', 'otc', 'pain']",how often can i take acetaminophen for pain?
85,Is Tylenol or ibuprofen better for headaches?,Pain Relief,headache;tylenol;ibuprofen;compare,"['headache', 'tylenol', 'ibuprofen', 'compare']",is tylenol or ibuprofen better for headaches?
86,What can I take for a migraine?,Pain Relief,migraine;otc;triggers;when to see doctor,"['migraine', 'otc', 'triggers', 'when to see doctor']",what can i take for a migraine?
87,Can I take pain medicine on an empty stomach?,Pain Relief,pain medicine;stomach upset;safety;food,"['pain medicine', 'stomach upset', 'safety', 'food']",can i take pain medicine on an empty stomach?
88,What helps back pain without prescription meds?,Pain Relief,back pain;heat;stretching;otc,"['back pain', 'heat', 'stretching', 'otc']",what helps back pain without prescription meds?
89,What can I take for tooth pain until I see a dentist?,Pain Relief,tooth pain;ibuprofen;acetaminophen;temporary,"['tooth pain', 'ibuprofen', 'acetaminophen', 'temporary']",what can i take for tooth pain until i see a dentist?
90,Is it safe to use topical pain creams?,Pain Relief,topical;menthol;capsaicin;safety,"['topical', 'menthol', 'capsaicin', 'safety']",is it safe to use topical pain creams?
91,Can I use Voltaren gel with ibuprofen tablets?,Pain Relief,diclofenac;voltaren;nsaid;combination,"['diclofenac', 'voltaren', 'nsaid', 'combination']",can i use voltaren gel with ibuprofen tablets?
92,What helps muscle soreness after exercise?,Pain Relief,muscle soreness;ice;heat;recovery,"['muscle soreness', 'ice', 'heat', 'recovery']",what helps muscle soreness after exercise?
93,What can I take for period cramps?,Pain Relief,period cramps;nsaid;ibuprofen;dosing,"['period cramps', 'nsaid', 'ibuprofen', 'dosing']",what can i take for period cramps?
94,Can I take ibuprofen for arthritis pain?,Pain Relief,arthritis;ibuprofen;nsaid;safety,"['arthritis', 'ibuprofen', 'nsaid', 'safety']",can i take ibuprofen for arthritis pain?
95,What’s the safest pain reliever if I have stomach ulcers?,Pain Relief,ulcer;acetaminophen;nsaid risk;safety,"['ulcer', 'acetaminophen', 'nsaid risk', 'safety']",what’s the safest pain reliever if i have stomach ulcers?
96,What’s the safest pain reliever if I have kidney problems?,Pain Relief,kidney;pain relief;avoid nsaid;safe,"['kidney', 'pain relief', 'avoid nsaid', 'safe']",what’s the safest pain reliever if i have kidney problems?
97,What’s the safest pain reliever if I have liver problems?,Pain Relief,liver;acetaminophen;dose limit;safety,"['liver', 'acetaminophen', 'dose limit', 'safety']",what’s the safest pain reliever if i have liver problems?
98,Can I take ibuprofen if I have asthma?,Pain Relief,asthma;ibuprofen;nsaid sensitivity;safety,"['asthma', 'ibuprofen', 'nsaid sensitivity', 'safety']",can i take ibuprofen if i have asthma?
99,Can I take aspirin for pain?,Pain Relief,aspirin;pain relief;bleeding risk;safety,"['aspirin', 'pain relief', 'bleeding risk', 'safety']",can i take aspirin for pain?
100,How do I reduce swelling from an injury?,Pain Relief,swelling;RICE;ice;elevation,"['swelling', 'rice', 'ice', 'elevation']",how do i reduce swelling from an injury?
101,How long can I take ibuprofen safely?,Pain Relief,ibuprofen;duration;side effects;safety,"['ibuprofen', 'duration', 'side effects', 'safety']",how long can i take ibuprofen safely?
102,How long can I take naproxen safely?,Pain Relief,naproxen;duration;side effects;safety,"['naproxen', 'duration', 'side effects', 'safety']",how long can i take naproxen safely?
103,What are signs I took too much acetaminophen?,Pain Relief,acetaminophen;overdose;warning signs;liver,"['acetaminophen', 'overdose', 'warning signs', 'liver']",what are signs i took too much acetaminophen?
104,What are signs I took too much ibuprofen?,Pain Relief,ibuprofen;overdose;warning signs;stomach,"['ibuprofen', 'overdose', 'warning signs', 'stomach']",what are signs i took too much ibuprofen?
105,Can I take pain relievers while pregnant?,Pain Relief,pregnancy;pain relief;acetaminophen;safety,"['pregnancy', 'pain relief', 'acetaminophen', 'safety']",can i take pain relievers while pregnant?
106,Can I take ibuprofen while breastfeeding?,Pain Relief,breastfeeding;ibuprofen;safety;otc,"['breastfeeding', 'ibuprofen', 'safety', 'otc']",can i take ibuprofen while breastfeeding?
107,What can I take for joint pain?,Pain Relief,joint pain;otc;topical;exercise,"['joint pain', 'otc', 'topical', 'exercise']",what can i take for joint pain?
108,What helps a sprained ankle pain?,Pain Relief,sprain;ankle;ice;ibuprofen,"['sprain', 'ankle', 'ice', 'ibuprofen']",what helps a sprained ankle pain?
109,Is it safe to use heating pads for pain?,Pain Relief,heat;heating pad;burn risk;safety,"['heat', 'heating pad', 'burn risk', 'safety']",is it safe to use heating pads for pain?
110,Is it safe to use ice packs for pain?,Pain Relief,ice;ice pack;frostbite;safety,"['ice', 'ice pack', 'frostbite', 'safety']",is it safe to use ice packs for pain?
111,Can I take acetaminophen with alcohol?,Pain Relief,acetaminophen;alcohol;liver risk;safety,"['acetaminophen', 'alcohol', 'liver risk', 'safety']",can i take acetaminophen with alcohol?
112,Is it okay to take ibuprofen after drinking alcohol?,Pain Relief,ibuprofen;alcohol;stomach bleed;safety,"['ibuprofen', 'alcohol', 'stomach bleed', 'safety']",is it okay to take ibuprofen after drinking alcohol?
113,What can I take for nerve pain over the counter?,Pain Relief,nerve pain;otc;limitations;when to see doctor,"['nerve pain', 'otc', 'limitations', 'when to see doctor']",what can i take for nerve pain over the counter?
114,Does turmeric help with pain?,Pain Relief,turmeric;inflammation;supplement;evidence,"['turmeric', 'inflammation', 'supplement', 'evidence']",does turmeric help with pain?
115,Can I take fish oil with pain relievers?,Pain Relief,fish oil;bleeding risk;interaction;safety,"['fish oil', 'bleeding risk', 'interaction', 'safety']",can i take fish oil with pain relievers?
116,What should I do if pain medicine upsets my stomach?,Pain Relief,stomach upset;nsaid;food;tips,"['stomach upset', 'nsaid', 'food', 'tips']",what should i do if pain medicine upsets my stomach?
117,What’s the difference between ibuprofen and naproxen?,Pain Relief,ibuprofen;naproxen;nsaid;compare,"['ibuprofen', 'naproxen', 'nsaid', 'compare']",what’s the difference between ibuprofen and naproxen?
118,Can I take two different NSAIDs together?,Pain Relief,nsaid;ibuprofen;naproxen;avoid,"['nsaid', 'ibuprofen', 'naproxen', 'avoid']",can i take two different nsaids together?
119,Can I take acetaminophen and naproxen together?,Pain Relief,acetaminophen;naproxen;combination;safety,"['acetaminophen', 'naproxen', 'combination', 'safety']",can i take acetaminophen and naproxen together?
120,Can I take acetaminophen and ibuprofen together?,Pain Relief,acetaminophen;ibuprofen;combination;safety,"['acetaminophen', 'ibuprofen', 'combination', 'safety']",can i take acetaminophen and ibuprofen together?
121,What can I take for heartburn fast?,Acid Reflux,heartburn;fast relief;antacid;tips,"['heartburn', 'fast relief', 'antacid', 'tips']",what can i take for heartburn fast?
122,What’s the difference between antacids and acid reducers?,Acid Reflux,antacid;famotidine;omeprazole;compare,"['antacid', 'famotidine', 'omeprazole', 'compare']",what’s the difference between antacids and acid reducers?
123,How should I take omeprazole for best results?,Acid Reflux,omeprazole;ppi;timing;before meals,"['omeprazole', 'ppi', 'timing', 'before meals']",how should i take omeprazole for best results?
124,How long does it take omeprazole to work?,Acid Reflux,omeprazole;ppi;onset;expectations,"['omeprazole', 'ppi', 'onset', 'expectations']",how long does it take omeprazole to work?
125,Can I take famotidine and omeprazole together?,Acid Reflux,famotidine;omeprazole;combination;timing,"['famotidine', 'omeprazole', 'combination', 'timing']",can i take famotidine and omeprazole together?
126,Is it safe to take antacids every day?,Acid Reflux,antacid;daily use;side effects;rebound,"['antacid', 'daily use', 'side effects', 'rebound']",is it safe to take antacids every day?
127,Can I take Tums if I’m pregnant?,Acid Reflux,pregnancy;calcium carbonate;tums;safety,"['pregnancy', 'calcium carbonate', 'tums', 'safety']",can i take tums if i’m pregnant?
128,What heartburn medicine is safe during pregnancy?,Acid Reflux,pregnancy;heartburn;safety;otc,"['pregnancy', 'heartburn', 'safety', 'otc']",what heartburn medicine is safe during pregnancy?
129,Can children take heartburn medicine?,Acid Reflux,children;heartburn;famotidine;dose,"['children', 'heartburn', 'famotidine', 'dose']",can children take heartburn medicine?
130,What foods trigger acid reflux?,Acid Reflux,diet;triggers;reflux;avoid,"['diet', 'triggers', 'reflux', 'avoid']",what foods trigger acid reflux?
131,What can I do for reflux without medicine?,Acid Reflux,lifestyle;reflux;raise head;avoid late meals,"['lifestyle', 'reflux', 'raise head', 'avoid late meals']",what can i do for reflux without medicine?
132,Can I take omeprazole long term?,Acid Reflux,omeprazole;long term;risks;doctor,"['omeprazole', 'long term', 'risks', 'doctor']",can i take omeprazole long term?
133,Is it safe to take Pepto-Bismol for stomach upset?,Acid Reflux,pepto bismol;bismuth;stomach upset;safety,"['pepto bismol', 'bismuth', 'stomach upset', 'safety']",is it safe to take pepto-bismol for stomach upset?
134,Can I take Pepto-Bismol if I’m on blood thinners?,Acid Reflux,bismuth;blood thinner;bleeding risk;interaction,"['bismuth', 'blood thinner', 'bleeding risk', 'interaction']",can i take pepto-bismol if i’m on blood thinners?
135,What helps nausea from reflux?,Acid Reflux,nausea;reflux;ginger;small meals,"['nausea', 'reflux', 'ginger', 'small meals']",what helps nausea from reflux?
136,Can I take ginger supplements for nausea?,Acid Reflux,ginger;nausea;supplement;safety,"['ginger', 'nausea', 'supplement', 'safety']",can i take ginger supplements for nausea?
137,What’s the difference between GERD and heartburn?,Acid Reflux,gerd;heartburn;symptoms;definition,"['gerd', 'heartburn', 'symptoms', 'definition']",what’s the difference between gerd and heartburn?
138,When should I see a doctor for heartburn?,Acid Reflux,heartburn;warning signs;chest pain;doctor,"['heartburn', 'warning signs', 'chest pain', 'doctor']",when should i see a doctor for heartburn?
139,Can reflux cause a cough?,Acid Reflux,reflux;cough;laryngopharyngeal;symptoms,"['reflux', 'cough', 'laryngopharyngeal', 'symptoms']",can reflux cause a cough?
140,Does drinking milk help heartburn?,Acid Reflux,milk;heartburn;myths;temporary,"['milk', 'heartburn', 'myths', 'temporary']",does drinking milk help heartburn?
141,What allergy medicine is non-drowsy?,Allergies,allergy;non drowsy;loratadine;cetirizine,"['allergy', 'non drowsy', 'loratadine', 'cetirizine']",what allergy medicine is non-drowsy?
142,Which antihistamine is best for itchy eyes?,Allergies,itchy eyes;antihistamine;eye drops;allergy,"['itchy eyes', 'antihistamine', 'eye drops', 'allergy']",which antihistamine is best for itchy eyes?
143,Can I take allergy medicine every day?,Allergies,antihistamine;daily use;safety;seasonal,"['antihistamine', 'daily use', 'safety', 'seasonal']",can i take allergy medicine every day?
144,How long does cetirizine (Zyrtec) take to work?,Allergies,cetirizine;onset;allergy;timing,"['cetirizine', 'onset', 'allergy', 'timing']",how long does cetirizine (zyrtec) take to work?
145,How long does loratadine (Claritin) take to work?,Allergies,loratadine;onset;allergy;timing,"['loratadine', 'onset', 'allergy', 'timing']",how long does loratadine (claritin) take to work?
146,Can I switch from Claritin to Zyrtec?,Allergies,claritin;zyrtec;switching;safety,"['claritin', 'zyrtec', 'switching', 'safety']",can i switch from claritin to zyrtec?
147,Is it safe to take Benadryl every night?,Allergies,benadryl;diphenhydramine;daily;risks,"['benadryl', 'diphenhydramine', 'daily', 'risks']",is it safe to take benadryl every night?
148,What can I do for nasal allergies without pills?,Allergies,nasal allergy;saline;nasal steroid;tips,"['nasal allergy', 'saline', 'nasal steroid', 'tips']",what can i do for nasal allergies without pills?
149,How do nasal steroid sprays work?,Allergies,fluticasone;nasal steroid;how it works;allergy,"['fluticasone', 'nasal steroid', 'how it works', 'allergy']",how do nasal steroid sprays work?
150,How long does Flonase take to work?,Allergies,fluticasone;flonase;onset;days,"['fluticasone', 'flonase', 'onset', 'days']",how long does flonase take to work?
151,Can I use Flonase every day?,Allergies,flonase;daily use;safety;nasal,"['flonase', 'daily use', 'safety', 'nasal']",can i use flonase every day?
152,What can I take for hives?,Allergies,hives;urticaria;antihistamine;safety,"['hives', 'urticaria', 'antihistamine', 'safety']",what can i take for hives?
153,When is an allergic reaction an emergency?,Allergies,anaphylaxis;emergency;swelling;911,"['anaphylaxis', 'emergency', 'swelling', '911']",when is an allergic reaction an emergency?
154,Can I take allergy meds while pregnant?,Allergies,pregnancy;allergy;loratadine;safety,"['pregnancy', 'allergy', 'loratadine', 'safety']",can i take allergy meds while pregnant?
155,Can I take allergy meds while breastfeeding?,Allergies,breastfeeding;allergy;safety;antihistamine,"['breastfeeding', 'allergy', 'safety', 'antihistamine']",can i take allergy meds while breastfeeding?
156,What allergy medicine is safe for children?,Allergies,children;allergy;dosing;safety,"['children', 'allergy', 'dosing', 'safety']",what allergy medicine is safe for children?
157,Can I give my child Benadryl?,Allergies,children;benadryl;dosing;doctor,"['children', 'benadryl', 'dosing', 'doctor']",can i give my child benadryl?
